NAME                                     STATUS   AGE
cattle-capi-system                       Active   7h34m
cattle-fleet-clusters-system             Active   7h35m
cattle-fleet-local-system                Active   7h33m
cattle-fleet-system                      Active   7h35m
cattle-global-data                       Active   7h36m
cattle-impersonation-system              Active   7h36m
cattle-local-user-passwords              Active   7h36m
cattle-system                            Active   7h36m
cattle-turtles-system                    Active   7h34m
cattle-ui-plugin-system                  Active   7h36m
cert-manager                             Active   16h
cluster-fleet-local-local-1a3d67d0a899   Active   7h34m
default                                  Active   17h
fleet-default                            Active   16h
fleet-local                              Active   16h
istio-system                             Active   39s
kube-node-lease                          Active   17h
kube-public                              Active   17h
kube-system                              Active   17h
local                                    Active   16h
neuvector                                Active   47s
p-fsh8n                                  Active   16h
p-vwj97                                  Active   16h
secutiry                                 Active   54s
uit-go-app                               Active   60s
user-5fslx                               Active   7h22m
